year,c2vsim1,c2vsim2,c2vsim3,c2vsim4,c2vsim5,c2vsim6,c2vsim7,c2vsim8,c2vsim9,c2vsim10,c2vsim11,c2vsim12,c2vsim13,c2vsim14,c2vsim15,c2vsim16,c2vsim17,c2vsim18,c2vsim19,c2vsim20,c2vsim21,cvhm1,cvhm2,cvhm3,cvhm4,cvhm5,cvhm6,cvhm7,cvhm8,cvhm9,cvhm10,cvhm11,cvhm12,cvhm13,cvhm14,cvhm15,cvhm16,cvhm17,cvhm18,cvhm19,cvhm20,cvhm21
1975,127.2319267,-96.95100457,86.69760826,-60.95612823,-143.044352,-112.0391192,-64.55164879,-149.70994,-82.98126235,150.6773299,12.28747524,66.50261379,19.78617115,-248.6978902,-265.5179381,2.381595163,-206.8246364,28.41427608,-524.7271646,-287.0305301,-634.0993303,-189.6865651,-141.268483,6.210588378,-2.373296077,-144.4815092,-46.52785901,-105.5671537,-91.54486634,168.8063552,-64.79805405,-47.7008958,82.41309066,-48.84818706,-289.3219986,-267.1535059,-133.339856,-318.435135,-384.6897686,-198.7989542,-195.09124,-80.95859532
1976,94.45088044,-310.2263537,27.86320722,-118.6105121,-163.162816,-227.6736794,-135.3788978,-413.1809938,-208.4958379,82.13954705,-217.7176464,-18.88960461,-541.4701552,-241.8752656,-547.640296,-237.6576211,-545.7399671,-603.9606646,-594.4529009,-420.518658,-667.833308,-806.4135823,-1367.093724,-1060.079164,-597.9433993,-1048.265161,-1100.641263,-596.4602885,-1042.939624,-941.1629329,-386.8913917,-332.5609768,-226.3906662,-1054.001353,-204.7682993,-598.6078421,-477.0253919,-993.8225061,-935.358316,-281.1477982,-442.8797086,-54.93763834
1977,50.76049636,-375.5912144,-65.25271549,-119.0394323,-392.5641125,-310.4002086,-285.9535405,-502.6565545,-195.5688891,-261.1834483,-478.5868513,-359.9484704,-988.0047323,-915.1075114,-986.6816446,-338.9295835,-659.3044205,-927.5478495,-697.0537412,-538.9044368,-930.9998805,-744.0700359,-1282.628723,-960.6150998,-465.9086657,-932.0248438,-1131.031672,-474.518157,-1240.676365,-823.6204726,-382.2643705,-819.5318164,-481.2623464,-1592.848292,-573.2951353,-836.9921926,-700.5973378,-1073.231379,-1166.342194,-438.9312177,-549.6978376,-74.47521625
1978,92.12336585,124.4927554,134.4650389,134.7094207,198.0438042,175.5616917,-9.325597743,-96.74063201,98.453451,144.3320006,171.3342361,189.937058,521.2152364,-421.9031991,567.222397,94.64958138,253.1360651,815.5147979,185.1200669,-208.8918562,-329.4782966,637.230881,1034.632899,803.9734174,608.762291,852.9247335,1060.681129,190.2158262,570.1292053,1849.419825,780.6787665,273.5072201,463.4103714,1118.138137,-346.4572947,1373.22185,52.41995241,876.763829,687.9911101,234.356784,267.4724226,568.5148824
1979,53.6675097,-55.86410727,87.04109002,-39.50983818,24.43816535,-30.0961308,-23.0441265,-155.0880317,-71.83809266,94.0951855,84.2016674,97.23626203,134.5595718,-293.6271095,-47.36191054,94.49822045,-4.707907082,302.3766733,-300.5941819,-176.2810988,-142.761653,-348.7918074,-418.7122109,-51.9225335,-56.5246516,-67.57720516,14.55022415,-40.77246597,-95.3756367,102.180252,-106.5038769,140.6087135,107.9033056,290.7764283,-399.5311071,-394.4415453,-68.69485607,348.8769998,-312.0947605,-105.3382877,60.2896595,-8.091755257
1980,70.61634193,89.86585398,145.29402,58.15372588,1.875098444,66.79779188,7.544523865,-5.968494523,49.60185137,147.9619583,134.6236609,131.9356599,269.6908651,-277.9447002,236.4548562,66.16798025,100.9006273,635.5237808,46.92627341,-55.75664247,-117.4145762,47.22179098,431.0342002,612.0273953,300.6238138,375.6593898,855.3012384,37.44280984,278.0059622,1024.942186,117.2778927,224.7012037,315.8713583,466.7098606,-213.9652561,-38.47656439,-76.06925491,265.5504966,-131.2349828,-54.30041483,14.59460696,147.6227254
1981,40.95653108,-44.15867158,92.72996096,-44.32419871,-141.2241642,-73.87519213,-145.3241463,-248.3319687,-85.90707805,91.61852943,0.90559801,37.53620202,-257.7134828,-188.8736465,-181.6891435,-36.87972007,-282.622505,-234.5076392,-295.9217383,-221.7258045,-268.7143724,-206.6483581,-354.6020318,-269.335154,-215.9664958,-311.3220542,-398.0729146,-169.5946601,-465.0844942,-432.185873,-239.9821673,-74.2327474,-89.31733859,-682.863433,-281.6419939,-717.8964591,-259.1336502,-447.0557772,-908.3172727,-164.0539401,-185.0223215,-234.6221463
1982,72.74029376,100.8346263,167.4803042,122.7712025,127.3220374,143.9910345,-15.21696392,148.2568904,115.2996088,174.9359074,135.2635394,141.9628666,357.138402,-197.2767689,222.1577651,38.08239761,95.66196107,658.9423175,-35.2673563,-118.0842162,-176.9856198,249.0501229,465.4500531,575.2293697,495.5753742,900.8076925,1279.930725,394.1864718,1076.890729,1839.485714,211.7445864,304.8349119,380.0740367,485.8265739,-158.2184782,33.84335937,-170.7276125,184.3991218,-78.23667233,-75.12485567,-64.92091848,-162.6152136
1983,85.15562494,279.80888,285.8014451,125.0448013,8.734195739,132.7525971,101.6877707,298.6683991,152.7288319,340.647443,152.8628762,182.7345821,1078.462457,-121.6653536,711.8936442,181.448418,253.3316712,1252.608313,1015.554619,31.13176157,-190.8754488,874.9371082,1749.321761,1406.159356,742.8524416,1261.539824,1689.989211,474.9438958,1850.123589,2368.393277,822.8961068,609.8571671,829.5820671,2133.179292,213.2269755,799.2789983,316.0210957,823.77448,467.6215235,316.5309304,374.8908539,393.5132944
1984,29.90683692,2.435553424,182.7142544,-113.7786546,24.94111206,-36.7005125,-54.54625241,-67.00701502,-120.1077357,59.99541113,-51.84301631,-47.19502893,-50.00731646,-132.6985866,-219.5219531,36.63365404,-119.858467,103.6891248,-159.4601,-130.1620833,-407.3941595,-88.87281125,161.1089968,176.9866077,-179.1807589,-76.2281087,-10.1099866,-119.7249326,95.21308014,-558.5832408,-241.2594388,-66.62244197,-111.8873028,-90.73668017,-122.7591034,-584.1725677,-181.2312997,-95.24154775,-615.8980839,-154.3980988,28.72453648,-185.8127423
