Year,SWP,CVP,ResStor,Surface10,Surface11,Surface12,Surface13,Surface14,Surface15,Surface16,Surface17,Surface18,Surface19,Surface20,Surface21,Pumping10,Pumping11,Pumping12,Pumping13,Pumping14,Pumping15,Pumping16,Pumping17,Pumping18,Pumping19,Pumping20,Pumping21,GWChange10,GWChange11,GWChange12,GWChange13,GWChange14,GWChange15,GWChange16,GWChange17,GWChange18,GWChange19,GWChange20,GWChange21
1986,1447.058064,2615.39543,6822.441711,1097.409794,752.1559449,602.354556,1041.9491,1107.207662,1056.542448,484.8943554,512.6960878,1264.210738,487.3247242,536.9464656,637.4881014,113.7382871,139.8550678,106.4890369,496.1249896,412.8038566,972.0707911,129.1435937,286.5116826,424.913528,573.3926606,277.5346433,1103.216919,159.7794777,57.305239,80.3437578,243.743761,-142.4838835,257.0888649,57.50572503,60.5432967,499.8943174,-45.07418305,-80.07486472,-269.0303568
1987,1001.539198,2755.21909,5758.93074,977.0175409,705.3828212,528.8232994,701.6424587,1227.332413,993.1990141,414.8775477,239.2661657,681.6185237,405.064443,276.4240028,561.3304244,305.7450157,248.3591186,253.182252,867.9237036,422.0756207,1226.835354,208.7401445,523.2611209,850.9695583,661.8219369,525.4190359,1193.413805,-95.15702018,-163.1991765,-108.9936223,-360.5053614,-160.287947,-223.8514334,-72.07890627,-320.3552878,-377.9638327,-270.9933308,-266.1722092,-523.4017441
1988,1169.866094,2892.704396,4276.176195,907.8446722,583.2528161,322.4155711,512.5608177,1191.003732,590.9893304,441.4717784,138.296937,713.4785475,344.1263913,261.5268098,626.1417498,507.3414108,235.4866296,371.5825862,990.8974776,456.1033563,1529.534046,229.3982695,587.722267,787.163744,576.1823405,503.7613518,1072.773695,-163.6833411,-111.0946826,-214.0282569,-510.0091455,-240.4023434,-461.4947962,-135.8977445,-420.9011211,-366.4489004,-242.3749226,-320.4473773,-529.8667238
1989,1258.362943,2867.194539,4304.852943,941.2959537,643.6765742,425.2229635,504.4389061,1064.883539,787.8886742,448.1892003,199.7013019,792.9511315,408.1042341,276.0633103,559.7971156,482.1938368,181.503556,294.2495972,1035.419365,536.1570102,1388.960334,198.0492705,536.0350093,619.725168,556.3230998,537.1571538,1086.443297,-145.3090217,-75.95912477,-83.08611818,-506.5699003,-311.8910184,-377.090951,-96.89007268,-368.1608563,-373.3057387,-254.1284168,-363.6694808,-550.5278458
1990,962.4356874,2694.806328,3580.854367,886.9252875,679.9905255,480.4290245,358.1591683,715.5871718,558.2004649,318.313614,130.7493448,511.7728711,207.1541335,181.2748933,376.0191497,499.0738536,147.195371,225.753062,1124.013853,695.1793106,1596.336723,272.8067878,595.5386048,1082.815227,774.2677336,639.7989274,1349.902151,-208.1887177,-34.0157174,-36.40312817,-622.1982833,-529.9695708,-635.9775716,-191.9644136,-465.7857036,-720.9868201,-481.2611193,-475.1592851,-864.7199386
1991,593.9467883,1406.561538,3461.974866,732.4774487,632.0972741,486.1301312,437.74438,330.5242872,305.3647259,442.7545138,231.6070227,775.3749846,62.08270052,192.1741698,159.3589728,678.4168946,227.6688578,262.4506836,1078.833673,783.6893231,1576.288067,189.3539103,544.1628656,805.4549819,712.5370842,566.0575171,1266.470464,-324.3181972,-108.4389528,-73.85629261,-484.5006795,-664.4697425,-417.8175586,-96.40453552,-356.6478045,-306.5757845,-273.1710131,-431.5796229,-793.1829057
1992,469.4233613,1340.746782,2783.434902,666.1190795,653.6970436,496.8565274,449.5741414,309.7352634,404.0485878,376.7443971,150.3677605,629.5142603,201.4253639,204.2989637,318.3275748,698.6356345,151.308647,212.9402782,959.942951,806.998491,1477.50794,233.3139145,586.5507589,860.8916159,589.8558024,538.3226312,1203.310172,-286.3501326,-20.57702801,-21.39082048,-403.7868394,-669.9641655,-545.4058297,-110.4048673,-382.5588363,-475.0487563,-332.8512414,-390.4949824,-774.221354
1993,1538.687552,2106.343693,7226.223027,750.0696204,658.96558,546.8544042,830.0434537,660.9340536,1027.601098,682.4535418,502.5802478,2394.268796,542.9710767,403.4186816,752.5982079,580.1234144,132.3131156,105.5280302,549.6523935,484.447815,773.5206014,118.1326175,222.4944397,125.0706655,266.2578385,392.3518857,741.8235772,-47.93783634,58.77400591,127.2369384,266.0077597,-278.0451541,507.5638458,146.6546478,171.4863844,951.662005,106.0045834,-192.2085284,-139.4178411
1994,649.6107801,2020.938287,4538.15378,812.6986838,695.3607119,552.938652,669.0400621,793.7347926,824.9663208,402.0883524,239.3790165,777.9572064,164.4113077,265.0901644,404.1324966,618.3287788,177.1206257,198.2821721,776.4486901,674.4223095,1291.804156,194.4838458,483.243344,673.1040552,691.9068903,533.8139755,1202.835316,-210.8533208,-39.96256669,-56.3877578,-247.9059019,-447.1671159,-264.4431281,-32.63840563,-205.1437971,-234.887968,-377.9004218,-318.8604345,-469.7808852
1995,1536.538158,2578.75263,9706.892738,890.761244,651.6767296,541.5022272,708.5412599,787.2578078,1143.78261,492.1554957,565.9837866,2357.470461,368.4383464,480.0825921,770.0502387,461.8065957,115.2378974,144.3935992,640.7604189,439.7985448,795.2878413,158.1076941,181.7385773,170.0728769,492.1465172,277.1794181,731.1517419,41.30044815,99.75343699,139.7711276,276.7676115,-193.1772137,624.4540337,92.16832566,281.4843792,1052.649599,100.4975513,-66.4266134,69.08167843
